,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2,Dielectric rigidity,Water content,Life expectation,Health index,R1,R2,R3,R4,R5,R6
57,21,425,33000,32,217,3030,9,47,0,53,4,17.6,48.5,1.5238095238095237,0.0,0.0,0.0,0.19148936170212766,13.963133640552995
58,59,645,56000,20,267,2300,9,15,0,52,4,17.7,48.5,0.3389830508474576,0.0,0.0,0.0,0.6,8.614232209737828
59,104,1450,76500,37,357,3220,11,11,0,54,8,6.1,48.3,0.3557692307692308,0.0,0.0,0.0,1.0,9.019607843137255
60,3,19700,67600,0,108,1480,10,0,0,53,28,6.5,48.2,0.0,0.0,0.0,0.0,0.0,13.703703703703704
61,40,24800,53300,9,84,919,17,12,0,51,4,17.9,48.2,0.225,0.0,0.0,0.0,1.4166666666666667,10.94047619047619
62,35,1920,73500,6,202,1310,20,0,0,49,8,6.5,48.2,0.17142857142857143,0.0,0.0,0.0,0.0,6.485148514851486
63,3,1900,81300,37,234,2800,10,102,0,47,6,17.9,48.2,12.333333333333334,0.0,0.0,0.0,0.09803921568627451,11.965811965811966
64,0,693,50600,43,68,2770,4,91,0,52,10,6.1,48.2,0.0,0.0,0.0,0.0,0.04395604395604396,40.73529411764706
65,28,9950,47300,16,245,1290,0,3,0,49,4,17.9,48.2,0.5714285714285714,0.0,0.0,0.0,0.0,5.26530612244898
66,25,15500,50700,3,267,1180,0,0,0,43,4,17.9,48.2,0.12,0.0,0.0,0.0,0.0,4.419475655430712
67,25,508,54500,12,317,2750,4,14,0,56,4,17.9,48.2,0.48,0.0,0.0,0.0,0.2857142857142857,8.675078864353312
68,23,888,74700,16,914,3420,5,6,0,47,7,6.5,48.2,0.6956521739130435,0.0,0.0,0.0,0.8333333333333334,3.7417943107221006
69,9,10700,42300,2,308,1970,0,4,0,57,9,6.5,48.2,0.2222222222222222,0.0,0.0,0.0,0.0,6.396103896103896
70,9,738,56000,10,294,1960,4,17,0,56,7,6.5,48.2,1.1111111111111112,0.0,0.0,0.0,0.23529411764705882,6.666666666666667
71,4,408,38700,22,105,1100,7,47,0,57,7,17.9,48.2,5.5,0.0,0.0,0.0,0.14893617021276595,10.476190476190476
72,8,1060,55300,14,235,1850,6,22,0,56,3,17.8,48.2,1.75,0.0,0.0,0.0,0.2727272727272727,7.872340425531915
73,7,376,54700,13,205,1780,4,15,0,55,4,17.9,48.2,1.8571428571428572,0.0,0.0,0.0,0.26666666666666666,8.682926829268293
74,7,425,50500,9,317,2690,4,15,0,55,8,6.5,48.2,1.2857142857142858,0.0,0.0,0.0,0.26666666666666666,8.485804416403786
75,7,15700,46800,2,373,3470,28,0,0,51,8,6.5,48.2,0.2857142857142857,0.0,0.0,0.0,0.0,9.302949061662199
76,7,1990,58800,10,154,2210,4,18,0,50,1,31.1,48.2,1.4285714285714286,0.0,0.0,0.0,0.2222222222222222,14.35064935064935
77,6,3760,70200,17,277,2200,7,31,0,55,3,31.1,48.2,2.8333333333333335,0.0,0.0,0.0,0.22580645161290322,7.9422382671480145
78,5,378,53100,16,231,2170,5,22,0,54,4,17.9,48.2,3.2,0.0,0.0,0.0,0.22727272727272727,9.393939393939394
79,5,17400,53400,4,296,2750,7,0,0,55,10,6.5,48.2,0.8,0.0,0.0,0.0,0.0,9.29054054054054
80,5,22900,51800,0,149,826,10,0,0,49,10,6.5,48.2,0.0,0.0,0.0,0.0,0.0,5.543624161073826
81,5,20400,42200,0,148,820,17,0,0,52,9,6.5,48.2,0.0,0.0,0.0,0.0,0.0,5.54054054054054
82,4,57,31384,5,89,876,2,6,0,68,7,31.1,48.2,1.25,0.0,0.0,0.0,0.3333333333333333,9.842696629213483
83,4,4740,73200,2,154,1910,8,0,0,52,15,6.5,48.2,0.5,0.0,0.0,0.0,0.0,12.402597402597403
84,4,20200,44700,0,194,2050,66,0,0,54,13,6.5,48.2,0.0,0.0,0.0,0.0,0.0,10.56701030927835
85,3,15400,46100,0,333,1240,18,0,0,35,14,6.5,48.2,0.0,0.0,0.0,0.0,0.0,3.7237237237237237
86,3,20600,42000,0,118,906,18,0,0,57,6,6.5,48.2,0.0,0.0,0.0,0.0,0.0,7.677966101694915
87,3,395,47000,5,47,623,9,11,0,54,9,6.5,48.2,1.6666666666666667,0.0,0.0,0.0,0.8181818181818182,13.25531914893617
